id,facility_name,naic_code,facility_category,facility_type,unit_number,street_number,street_name,city,country,province,postal_code,address,sector,company_id,facility_id_general_status,facility_id_submission_status,updated_at,company_name,account_owner_email
205,Hybrid Water Desalination System,221310,221,221310,,262125,Balzac Blvd. Balzac,Balzac,Canada,Alberta,T4B2T3,NULL,22,422,2,0,28:31.1,Arrowhead Energy Inc,clayton.heck@arrowheadabandonments.com
424,NewAdam,111120,111,111120,,2,222,Calgary,Canada,Alberta,A1A1A1,NULL,11,578,2,0,43:40.2,Adam Inc,adam@yopmail.com
147,Cnoon International - SAGD,211141,211,211141, , LLK CPF – 07-31-085-06 W4M ,Long Lake Oil sand site - Highway 881,Anzac,Canada,Alberta,T0P1J0,NULL,21,346,3,2,34:51.4,CNOOC International,raj.bambhania@intl.cnoocltd.com
34,Maple Leaf Consumer Foods,311615,311,311615,,2619,91 Ave,Edmonton,Canada,Alberta,T6P1S3,NULL,31,46,3,2,09:13.2,Maple Leaf Foods,colin.haveroen@mapleleaf.com
4,Test facility,339930,339,339930,1234,123,Maple Street,Calgary,Canada,Alberta,A1A1A1,NULL,31,55,2,0,03:23.4,SEMI ADMIN,harsanjit.bhullar@enerva.ca
66,North Service Centre,336110,336,336110,,11140,120 Street,Edmonton,Canada,Alberta,T5G2X8,NULL,31,99,2,2,25:24.2,Alberta Motor Association,carly.weiss@ama.ab.ca
105,Quattro Ventures,111999,111,111999,,SW35-10-11W4,Hwy 3,Bow Island,Canada,Alberta,T0K0G0,NULL,11,319,2,2,55:50.8,Quattro Venutres,chris@quattrofarms.com
160,Water Injection Well,211110,211,211110,,0,02-04-027-13 W4M,Sunnynook,Canada,Alberta,A1A1A1,NULL,21,254,2,2,58:28.2,Success Resources Ltd.,aocchialini@successresources.ca
54,Sofina - Calgary,311615,311,311615,,6202,106 Avenue SE,Calgary,Canada,Alberta,T2C4Z8,NULL,31,30,3,2,52:44.7,Sofina Foods,jbayliss@sofinafoods.com
70,123,112930,112,112930,112,123,123,Calgary,Canada,Alberta,T2P3N4,NULL,11,212,2,2,42:24.6,VL Energy Ltd,adam.abou-dehn@vlenergy.ca
292,Water Treatment Plant,221310,221,221310,,"58°27'37.6""N","116°15'32.6""W",Rocky Lane,Canada,Alberta,A1A1A1,NULL,22,505,3,2,30:36.1,Beaver First Nation,Gari-lynn.Chalifoux@beaverfirstnation.ab.ca
295,a,111130,111,111130,,a,a,a,Canada,Alberta,t4T4T4,NULL,11,509,2,0,33:36.8,JustGhost,andrei30@yopmail.com
305,PBG Leduc Manufacturing,339999,339,339999,102,4101, 65A Avenue,Leduc,Canada,Alberta,T9E0Z4,NULL,31,513,2,0,09:33.1,PBG BioPharma Inc,allan@pbgbiopharma.com
327,bloodhound trucking services inc,484233,484,484233,42,42 martinvalley crt ne,martinvalley crt ne,calgary,Canada,Alberta,T3J4L9,NULL,48,526,1,0,06:09.3,bloodhound trucking & services inc.,bloodhoundtruckingservices@gmail.com
425,City of Red Deer Waste Water Treatment Plant,562210,562,562210,,7890, 40 Avenue,Red Deer,Canada,Alberta,T4N3T3,NULL,56,565,2,0,50:05.1,City of Red Deer,eve.dolan@reddeer.ca
68,Main,213119,213,213119,120,1220,28th St NE,Calgary,Canada,Alberta,T2A6A2,NULL,21,64,3,2,36:32.1,Litus,nedal.marei@litus.ca
133,Gold Bar WWTP UV Disinfection Building,221320,221,221320,,10977,50 Street NW,Edmonton,Canada,Alberta,T6A2E9,NULL,22,352,3,2,30:22.9,EPCOR Water Services Inc,qzhang@epcor.com
96,Kings Energy,332113,332,332113,,277,Burnt Park Dr,Red Deer,Canada,Alberta,t4s0k7,NULL,31,50,1,0,51:10.7,Peak Energy Solutions,joshforbes@peakenergysolutions.ca
103,ded,236220,236,236220,de,55,434,toronto,Canada,Alberta,a1a1a1,NULL,23,55,1,0,05:57.6,SEMI ADMIN,harsanjit.bhullar@enerva.ca
104,TestCompany3,236210,236,236210,5,555,tor,yot,Canada,Alberta,a1a1a1,NULL,23,55,2,0,05:32.6,SEMI ADMIN,harsanjit.bhullar@enerva.ca
