"id","facility_construction_status","facility_name","naic_code","facility_category","facility_type","target_saving","display_pic_url","unit_number","street_number","street_name","city","country","province","postal_code","address","sector","gross_floor_area","number_of_storeys","occupancy","number_of_building","company_id","facility_id_general_status","facility_id_submission_status","ng_distribution_company","ng_distribution_company_data_extraction","longitude","latitude","facility_bas","facility_bas_connectivity","is_approved","approved_by","is_active","created_at","updated_at","created_by","updated_by","total_electricity_savings","energy_savings","total_incentive_earned","benchmarking_eui","facility_nickname","year_of_construction","facility_ubi","serial_number"
1,NULL,"BioComposites Group Inc.","339999","3399","339999",NULL,"","","3250","50 Street","Drayton Valley","Canada","Alberta","T7A0C6",NULL,"33",NULL,NULL,NULL,NULL,119,2,0,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-11-18 20:49:53.597","2025-05-30 21:55:03.035",265,129,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
2,NULL,"BioComposites Group Inc.","339999","3399","339999",NULL,"","","3250","50 Street","Drayton Valley","Canada","Alberta","T7A 0C6",NULL,"33",NULL,NULL,NULL,NULL,148,2,0,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-11-18 21:02:53.799","2024-11-18 21:03:49.213",265,265,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
3,NULL,"Harmattan Gas Processing Complex","211130","2111","211130",NULL,NULL,"31462 ","Range Road 52","Range Road 52","Sundre","Canada","Alberta","t0m1x0",NULL,"21",NULL,NULL,NULL,NULL,211,2,0,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,1,"2024-12-01 14:16:57.351","2025-01-02 14:22:56.792",348,129,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
4,NULL,"Test facility","339930","339","339930",NULL,"https://semiproduploads.blob.core.windows.net/files/_995418_unknown1733318752484.png?sv=2025-01-05&spr=https&se=2034-12-04T13%3A25%3A53Z&sr=b&sp=r&sig=y%2FZqDYRVU3A9eg9qFEe71X0pY6CFc0ikbc6csjFt%2BNU%3D","1234","123","Maple Street","Calgary","Canada","Alberta","A1A1A1",NULL,"31",NULL,NULL,NULL,NULL,55,2,0,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,3,"2024-12-04 13:26:05.372","2024-12-04 15:03:23.392",105,105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
5,NULL,"GreenFacility","237990","237","237990",NULL,NULL,"","12","StreetName","CityName","Canada","Alberta","a1a1a1",NULL,"23",NULL,NULL,NULL,NULL,70,2,0,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,3,"2024-12-04 13:37:04.786","2024-12-04 14:45:16.28",131,131,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
6,NULL,"TestTemplates","237120","237","237120",NULL,NULL,"","123","Strn","Cat","Canada","Alberta","a1a1a1",NULL,"23",NULL,NULL,NULL,NULL,70,1,0,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,3,"2024-12-04 14:30:47.243","2024-12-04 14:45:14.081",131,131,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
7,NULL,"testdwnld","561410","561","561410",NULL,NULL,"","asd","dsa","das","Canada","Alberta","a1a1a1",NULL,"56",NULL,NULL,NULL,NULL,70,1,0,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,3,"2024-12-04 14:45:32.841","2024-12-04 14:48:44.085",131,131,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3
8,NULL,"rerorero","562910","562","562910",NULL,NULL,"","asd","sad","das","Canada","Alberta","a1a1a1",NULL,"56",NULL,NULL,NULL,NULL,70,1,2,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,3,"2024-12-04 14:49:03.974","2024-12-04 15:30:37.766",131,131,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4
9,NULL,"Test Facility","324122","324","324122",NULL,"https://semiproduploads.blob.core.windows.net/files/_995418_unknown1733324703157.png?sv=2025-01-05&spr=https&se=2034-12-04T15%3A05%3A03Z&sr=b&sp=r&sig=my8Lmwe7E7HyUXAXsR1jIlSomug%2F8pJcDi7EabluHt8%3D","1234","123","Maple Street","Calgary","Canada","Alberta","A1A1A1",NULL,"31",NULL,NULL,NULL,NULL,55,2,2,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,3,"2024-12-04 15:05:12.688","2024-12-04 15:16:07.157",105,105,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2
10,NULL,"rero2","322220","322","322220",NULL,NULL,"","sad","das","asd","Canada","Alberta","a1a1a1",NULL,"31",NULL,NULL,NULL,NULL,70,1,2,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,3,"2024-12-04 15:14:19.498","2024-12-04 15:30:35.477",131,131,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5
